trichotimeofday,diel2_1,diel2_2,diel2_3,diel4_1,diel4_2,diel4_3,diel6_1,diel6_2,diel6_3,diel8_1,diel8_3,diel9_1,diel9_2,diel9_3,diel10_1,diel10_2,diel10_3,diel11_1,diel11_2,diel11_3,diel12_1,diel12_3,diel14_1,diel14_2,diel14_3,diel16_1,diel16_3,diel19_1,diel19_3,diel22_1,diel22_2,diel22_3,diel23_1,diel23_2,diel23_3,diel24_1,diel24_2,diel24_3,diel1_1,diel1_2,diel1_3,teryparsed,KO,name,children__name,children__children__name,children__children__children__name,children__children__children__children__name,children__children__children__children__children__name,kid,kid2,kid3,kid4,kid5,kid6
Tery_4176  hypothetical protein [Trichodesmium erythraeum IMS101: NC_008312],2.52,1.43,5.11,2.31,0,4.56,3.27,0,1.54,1.54,4.72,0,0,7,0,0,2.09,4.69,0,2.8,3.16,6.75,0,0,2.75,1.26,2.68,0,1.99,0,0,3.85,0,2.41,4.03,0,0,5.49,5.33,1.82,4.63,Tery_4176,no,,,,,,,,,,,,
Tery_4567  homoserine dehydrogenase (EC 1.1.1.3) [Trichodesmium erythraeum IMS101: NC_008312],13.84,6.43,4.08,0,0,3.8,6.54,8.45,6.18,3.08,8.09,1.12,8.57,6.23,0,10.18,9.06,2.82,2.17,6.31,6.32,5.25,0,0,6.87,8.79,5.37,2.65,5.98,0,6.07,3.85,0,12.06,4.84,0,0,4.8,9.13,0,3.31,Tery_4567,K00003,,,,Serine and threonine metabolism,,K00003,E1.1.1.3;,homoserine,dehydrogenase,[EC:1.1.1.3],,
Tery_4567  homoserine dehydrogenase (EC 1.1.1.3) [Trichodesmium erythraeum IMS101: NC_008312],13.84,6.43,4.08,0,0,3.8,6.54,8.45,6.18,3.08,8.09,1.12,8.57,6.23,0,10.18,9.06,2.82,2.17,6.31,6.32,5.25,0,0,6.87,8.79,5.37,2.65,5.98,0,6.07,3.85,0,12.06,4.84,0,0,4.8,9.13,0,3.31,Tery_4567,K00003,,,,Cysteine and methionine metabolism,,K00003,E1.1.1.3;,homoserine,dehydrogenase,[EC:1.1.1.3],,
Tery_1038  peptidase M61 [Trichodesmium erythraeum IMS101: NC_008312],8.81,2.14,2.04,0,0,6.08,4.36,2.82,6.95,5.39,7.41,0,1.43,6.23,1.95,0,7.66,1.88,0,5.61,3.16,6.75,0,0,4.12,2.51,3.58,3.97,7.98,0,1.21,2.57,0,0,5.65,0,0,7.54,6.85,0,3.97,Tery_1038,no,,,,,,,,,,,,
Tery_4177 pdxJ pyridoxine 5'-phosphate synthase (EC 2.6.99.2) [Trichodesmium erythraeum IMS101: NC_008312],0,2.14,5.11,0,0,4.56,0,0,4.63,0,4.72,0,0,4.67,0,0,3.48,0,0,6.31,1.05,5.25,0,0,5.5,0,4.47,0,5.32,0,0,7.71,0,0,2.42,0,0,4.11,4.57,0,4.63,Tery_4177,K03474,,,,Cofactor and vitamin biosynthesis,,K03474,pdxJ;,pyridoxine,5-phosphate,synthase,[EC:2.6.99.2],
Tery_0740 argH argininosuccinate lyase (EC 4.3.2.1) [Trichodesmium erythraeum IMS101: NC_008312],1.26,4.28,3.06,2.31,0,3.04,0,1.41,1.54,2.31,6.74,0,0,3.11,0,0,2.79,1.88,0,8.41,2.11,6,2.08,0,7.56,2.51,2.68,0,9.31,0,0,6.42,0,0,3.23,0,0,4.8,4.57,0,4.63,Tery_0740,K01755,,,,Arginine and proline metabolism,,K01755,"argH,",ASL;,argininosuccinate,lyase,[EC:4.3.2.1],
Tery_0687  dihydroneopterin aldolase [Trichodesmium erythraeum IMS101: NC_008312],17.61,6.43,11.23,0,1.46,9.88,9.81,14.08,6.18,11.55,6.07,0,12.86,7,0,14.54,11.15,13.14,0,8.41,7.38,8.25,0.69,0,6.87,17.59,9.84,2.65,5.98,0,0,6.42,14.04,2.41,6.46,0,8.7,10.29,7.61,0,6.61,Tery_0687,K01633,,,,Cofactor and vitamin biosynthesis,,K01633,folB;,"7,8-dihydroneopterin",aldolase/epimerase/oxygenase,[EC:4.1.2.25,5.1.99.8,1.13.11.81]
Tery_4572  peptidase M23B [Trichodesmium erythraeum IMS101: NC_008312],2.52,0,1.02,0,0,1.52,0,0,2.32,3.08,0.67,0,0,0,0,0,0,0.94,0,0,0,0,0,0,2.06,0,0,0,1.33,0,0,0,0,0,0,0,0,0.69,1.52,0,1.32,Tery_4572,no,,,,,,,,,,,,
Tery_1806 metG methionyl-tRNA synthetase (EC 6.1.1.10) [Trichodesmium erythraeum IMS101: NC_008312],5.03,2.14,5.11,1.15,0,7.6,2.18,5.63,8.49,3.08,7.41,0,0,4.67,0,0,2.79,0.94,0,4.91,0,3,0,0,6.87,7.54,1.79,0,9.97,0,0,5.14,0,0,4.03,0,0,2.74,3.81,0,5.95,Tery_1806,K01874,,,,Aminoacyl tRNA,,K01874,"MARS,",metG;,methionyl-tRNA,synthetase,[EC:6.1.1.10],
Tery_3039  hypothetical protein [Trichodesmium erythraeum IMS101: NC_008312],6.29,5,6.13,5.77,4.37,3.8,5.45,2.82,5.4,4.62,6.07,3.35,5.71,4.67,0.97,5.82,4.88,5.63,0,6.31,6.32,6,10.42,0,4.81,8.79,4.47,0,6.65,12.7,2.43,7.71,10.53,0,4.84,8.69,0,6.86,3.81,2.73,5.95,Tery_3039,no,,,,,,,,,,,,
Tery_4348  L-threonine synthase (EC 4.2.3.1) [Trichodesmium erythraeum IMS101: NC_008312],5.03,7.85,4.08,0,0,3.8,4.36,0,4.63,2.31,4.04,0,0,2.33,0,1.45,3.48,0,0,4.21,2.11,7.5,0,0,6.87,2.51,10.74,17.21,17.95,0,2.43,17.98,3.51,0,8.88,0,0,10.97,9.13,0,7.27,Tery_4348,K01733,,,,Serine and threonine metabolism,,K01733,thrC;,threonine,synthase,[EC:4.2.3.1],,
Tery_0543 clpB ATPase AAA-2 [Trichodesmium erythraeum IMS101: NC_008312],0,15.71,0,0,0,11.4,25.07,0,13.89,0,14.83,0,0,15.56,0,0,13.24,0,0,13.32,0,12.75,0,0,10.99,0,0,42.36,13.29,0,0,14.13,0,0,19.37,0,0,11.66,15.23,0,12.57,Tery_0543,K03695,,,,,,,,,,,,
Tery_2265  C-methyltransferase [Trichodesmium erythraeum IMS101: NC_008312],1.26,5.71,3.06,0,0,4.56,2.18,1.41,3.86,2.31,2.7,0,0,3.89,0,0,0,1.88,0,4.21,6.32,6,0,0,6.18,6.28,1.79,0,3.99,0,0,0,0,0,6.46,0,0,8.23,7.61,0,8.6,Tery_2265,no,,,,,,,,,,,,
Tery_3237  hypothetical protein [Trichodesmium erythraeum IMS101: NC_008312],0,0.71,0,0,0,0.76,0,0,2.32,0.77,1.35,0,0,0.78,0,0,0,0,0,1.4,0,2.25,0,0,2.75,0,0,0,3.99,0,0,0,0,0,0.81,0,0,1.37,0,0,2.65,Tery_3237,no,,,,,,,,,,,,
Tery_3461  DSH-like [Trichodesmium erythraeum IMS101: NC_008312],0,1.43,0,1.15,0,1.52,0,2.82,1.54,1.54,2.7,0,0,3.11,0,0,2.09,2.82,0,0.7,0,3,0.69,0,2.75,0,0,0,3.32,0,0,5.14,0,0,0.81,0,0,4.11,3.81,0,1.98,Tery_3461,no,,,,,,,,,,,,
"Tery_0770  flavin reductase-like, FMN-binding [Trichodesmium erythraeum IMS101: NC_008312]",5.03,2.86,5.11,0,0,2.28,0,0,3.09,2.31,4.04,0,0,2.33,0,0,3.48,1.88,0,7.71,0,0,1.39,0,3.44,2.51,0.89,0,3.99,0,0,0,0,0,3.23,1.74,0,2.74,3.05,0,1.98,Tery_0770,no,,,,,,,,,,,,
Tery_3244  putative CheA signal transduction histidine kinases [Trichodesmium erythraeum IMS101: NC_008312],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,Tery_3244,K06596,,,,Two-component regulatory system,M00507  ChpA-ChpB/PilGH (chemosensory) two-component regulatory system [PATH:map02020] [BR:ko02022 ko02035],K06596,chpA;,chemosensory,pili,system,protein,ChpA
Tery_0277  Cytochrome-c oxidase [Trichodesmium erythraeum IMS101: NC_008312],5.03,4.28,3.06,4.62,4.37,5.32,3.27,2.82,5.4,3.85,5.39,0,4.29,3.89,0,1.45,3.48,2.82,0,4.21,4.22,5.25,6.95,0,4.81,2.51,5.37,2.65,3.99,4.23,0,6.42,7.02,0,3.23,5.21,0,3.43,6.85,0,3.97,Tery_0277,K02274,,,,ATP synthesis,,K02274,"coxA,",ctaD;,cytochrome,c,oxidase,subunit
Tery_4967  protoporphyrin IX magnesium-chelatase (EC 6.6.1.1) [Trichodesmium erythraeum IMS101: NC_008312],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,Tery_4967,K03404,,,,,,,,,,,,
Tery_3542  hypothetical protein [Trichodesmium erythraeum IMS101: NC_008312],2.52,7.85,7.15,0,0,5.32,5.45,4.22,10.04,0.77,6.07,0,1.43,5.45,0,1.45,1.39,0,0,5.61,6.32,6.75,0,0,9.62,5.03,4.47,3.97,7.98,0,0,0,0,0,6.46,0,0,8.23,6.09,0,7.27,Tery_3542,no,,,,,,,,,,,,
Tery_3815  hypothetical protein [Trichodesmium erythraeum IMS101: NC_008312],0,2.14,0,0,0,0,1.09,0,2.32,0.77,0,0,0,0.78,0,0,0.7,1.88,0,1.4,2.11,0,0,0,1.37,0,5.37,7.94,1.99,0,0,2.57,0,0,6.46,0,0,1.37,2.28,0,1.98,Tery_3815,no,,,,,,,,,,,,
Tery_3950  TPR repeat [Trichodesmium erythraeum IMS101: NC_008312],0,2.14,5.11,0,0,3.8,8.72,2.82,5.4,0,4.04,0,2.86,6.23,0,2.91,0,0.94,0,4.91,10.54,6,0,0,1.37,0,6.26,7.94,3.32,0,0,0,3.51,0,5.65,0,0,5.49,4.57,0,4.63,Tery_3950,no,,,,,,,,,,,,
"Tery_0185  aminotransferase, class V [Trichodesmium erythraeum IMS101: NC_008312]",1.26,6.43,3.06,0,0,3.04,1.09,1.41,3.09,4.62,1.35,0,0,4.67,0,0,0.7,0.94,0,3.5,2.11,6.75,0,0,4.81,5.03,1.79,0,4.65,0,0,3.85,0,0,4.03,0,0,6.17,3.81,0,5.95,Tery_0185,K11325,,,,,,,,,,,,
"Tery_4109  glycine betaine/L-proline ABC transporter, ATPase subunit [Trichodesmium erythraeum IMS101: NC_008312]",3.77,0.71,2.04,0,0,1.52,1.09,2.82,3.86,0.77,1.35,0,1.43,0,0,0,3.48,0,0,2.1,0,0.75,0,0,3.44,3.77,0,0,3.32,0,0,0,0,0,0,0,0,2.06,2.28,0,3.31,Tery_4109,K02000,,,,Mineral and organic ion transport system,,K02000,proV;,glycine,betaine/proline,transport,system,ATP-binding
Tery_0435 apt adenine phosphoribosyltransferase (EC 2.4.2.7) [Trichodesmium erythraeum IMS101: NC_008312],5.03,6.43,8.17,0,0,6.08,7.63,4.22,6.95,1.54,5.39,0,8.57,3.11,4.86,8.72,8.36,1.88,2.17,6.31,6.32,6,0,0,6.87,3.77,4.47,1.32,5.98,0,10.93,0,7.02,9.64,5.65,0,0,4.11,4.57,8.18,3.31,Tery_0435,K00759,,,,,,,,,,,,
Tery_4670  hypothetical protein [Trichodesmium erythraeum IMS101: NC_008312],3.77,4.28,4.08,0,0,6.84,1.09,1.41,5.4,5.39,7.41,1.12,0,3.11,0,2.91,5.57,2.82,0,5.61,3.16,6,0.69,0,5.5,0,1.79,0,8.64,1.06,0,0,0,0,1.61,0,0,6.17,4.57,0.91,6.61,Tery_4670,no,,,,,,,,,,,,
Tery_0801  glucose-binding protein/galactose-binding protein [Trichodesmium erythraeum IMS101: NC_008312],5.03,5,3.06,4.62,0,3.8,3.27,5.63,3.09,3.08,6.74,0,1.43,6.23,0,2.91,3.48,1.88,0,3.5,4.22,3,2.78,0,4.81,10.05,5.37,0,4.65,3.18,0,6.42,0,0,4.03,1.74,0,2.74,4.57,0,4.63,Tery_0801,K10540,,,,"Saccharide, polyol, and lipid transport system",M00214  Methyl-galactoside transport system [PATH:map02010] [BR:ko02000],K10540,mglB;,methyl-galactoside,transport,system,substrate-binding,protein
Tery_0188 gltX glutamate--tRNA(Gln) ligase (EC 6.1.1.24)/glutamyl-tRNA synthetase (EC 6.1.1.17) [Trichodesmium erythraeum IMS101: NC_008312],0,4.28,3.06,0,0,5.32,2.18,2.82,4.63,1.54,2.02,0,0,6.23,0,0,0.7,0.94,0,2.1,4.22,2.25,0.69,0,2.06,1.26,2.68,1.32,2.66,0,0,2.57,0,0,2.42,0,0,3.43,3.81,0,3.97,Tery_0188,K01885,,,,Cofactor and vitamin biosynthesis,"M00121  Heme biosynthesis, glutamate => protoheme/siroheme [PATH:map00860]",K01885,"EARS,",gltX;,glutamyl-tRNA,synthetase,[EC:6.1.1.17],
Tery_0188 gltX glutamate--tRNA(Gln) ligase (EC 6.1.1.24)/glutamyl-tRNA synthetase (EC 6.1.1.17) [Trichodesmium erythraeum IMS101: NC_008312],0,4.28,3.06,0,0,5.32,2.18,2.82,4.63,1.54,2.02,0,0,6.23,0,0,0.7,0.94,0,2.1,4.22,2.25,0.69,0,2.06,1.26,2.68,1.32,2.66,0,0,2.57,0,0,2.42,0,0,3.43,3.81,0,3.97,Tery_0188,K01885,,,,Aminoacyl tRNA,,K01885,"EARS,",gltX;,glutamyl-tRNA,synthetase,[EC:6.1.1.17],
Tery_1764  hypothetical protein [Trichodesmium erythraeum IMS101: NC_008312],0,3.57,0,0,0,2.28,3.27,0,2.32,2.31,3.37,0,0,2.33,0,1.45,0.7,0,0,1.4,0,4.5,2.08,0,0,1.26,0.89,1.32,1.33,0,0,0,0,0,2.42,0,0,3.43,3.05,0,2.65,Tery_1764,no,,,,,,,,,,,,
"Tery_2589  glycogen debranching enzyme, putative [Trichodesmium erythraeum IMS101: NC_008312]",3.77,0.71,0,0,0,0,0,0,4.63,2.31,0.67,0,0,0.78,0,0,2.09,0.94,0,4.21,0,3,0,0,4.81,1.26,2.68,0,6.65,0,0,7.71,0,0,2.42,0,0,2.74,4.57,0,2.65,Tery_2589,no,,,,,,,,,,,,
Tery_4987  acyl-CoA dehydrogenase family protein-like [Trichodesmium erythraeum IMS101: NC_008312],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,Tery_4987,no,,,,,,,,,,,,
Tery_4355  Iron-regulated ABC transporter membrane component SufB [Trichodesmium erythraeum IMS101: NC_008312],6.29,2.86,6.13,2.31,0,5.32,1.09,1.41,5.4,4.62,5.39,0,1.43,7,0,2.91,6.27,2.82,0,4.91,10.54,6.75,3.47,0,6.18,6.28,8.05,1.32,6.65,3.18,0,5.14,0,0,2.42,0,0,6.86,9.13,0,5.95,Tery_4355,K09014,,,,,,,,,,,,
Tery_2785  hypothetical protein [Trichodesmium erythraeum IMS101: NC_008312],2.52,1.43,8.17,0,0,6.08,0,0,6.18,4.62,8.76,0,0,2.33,0,0,4.88,0,0,8.41,0,5.25,0,0,8.93,0,0.89,0,10.64,0,0,8.99,0,0,2.42,0,0,7.54,2.28,0,7.27,Tery_2785,no,,,,,,,,,,,,
Tery_3943  periplasmic binding protein [Trichodesmium erythraeum IMS101: NC_008312],5.03,5.71,2.04,3.46,1.46,3.8,6.54,8.45,4.63,6.93,6.07,0,0,8.56,0.97,1.45,1.39,3.75,0,3.5,6.32,7.5,0,0,5.5,5.03,8.05,9.27,5.32,0,0,6.42,3.51,0,9.68,0,0,5.49,11.42,0,5.95,Tery_3943,K02016,,,,"Metallic cation, iron-siderophore and vitamin B12 transport system",M00240  Iron complex transport system [PATH:map02010] [BR:ko02000],K02016,ABC.FEV.S;,iron,complex,transport,system,substrate-binding
Tery_2886  hypothetical protein [Trichodesmium erythraeum IMS101: NC_008312],11.32,6.43,5.11,3.46,0,4.56,5.45,2.82,2.32,2.31,2.7,1.12,2.86,5.45,0,7.27,13.24,9.38,0,5.61,3.16,3,0,0,2.06,10.05,3.58,0,3.99,1.06,0,6.42,10.53,2.41,2.42,0,0,2.74,6.85,0,3.97,Tery_2886,no,,,,,,,,,,,,
Tery_4655 purC phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) [Trichodesmium erythraeum IMS101: NC_008312],2.52,1.43,4.08,0,0,3.04,2.18,1.41,5.4,5.39,5.39,0,0,3.89,0,0,1.39,1.88,0,7.01,1.05,3,2.08,0,8.24,1.26,5.37,2.65,9.31,0,0,7.71,0,0,4.84,0,0,1.37,4.57,0,3.97,Tery_4655,K01923,,,,Purine metabolism,,K01923,purC;,phosphoribosylaminoimidazole-succinocarboxamide,synthase,[EC:6.3.2.6],,
Tery_1164  hypothetical protein [Trichodesmium erythraeum IMS101: NC_008312],8.81,5.71,7.15,0,0,6.08,5.45,7.04,10.04,4.62,4.04,0,5.71,5.45,0,2.91,2.09,4.69,0,7.01,4.22,4.5,0.69,0,9.62,5.03,1.79,9.27,11.3,0,0,10.28,0,2.41,5.65,0,0,6.17,8.37,0,3.97,Tery_1164,no,,,,,,,,,,,,
Tery_2341  hypothetical protein [Trichodesmium erythraeum IMS101: NC_008312],0,0,0,0,0,0,0,0,0,0,2.7,0,0,2.33,0,0,0,1.88,0,1.4,1.05,0,0,0,0,0,0.89,0,1.33,0,0,2.57,0,0,2.42,0,0,2.06,4.57,0,1.98,Tery_2341,no,,,,,,,,,,,,
Tery_0920  anti-sigma-factor antagonist [Trichodesmium erythraeum IMS101: NC_008312],1.26,4.28,1.02,6.93,1.46,0.76,6.54,0,2.32,3.85,2.02,0,2.86,4.67,1.95,4.36,4.18,8.45,0,5.61,7.38,3.75,9.03,0,4.81,2.51,7.16,7.94,3.32,6.35,1.21,14.13,0,0,4.84,5.21,0,4.8,5.33,2.73,5.29,Tery_0920,no,,,,,,,,,,,,
Tery_0512 ycf4 photosystem I assembly Ycf4 [Trichodesmium erythraeum IMS101: NC_008312],0,1.43,1.02,0,0,3.04,3.27,2.82,0.77,0.77,5.39,0,0,3.89,3.89,1.45,0.7,0,0,0,4.22,6,0,0,0.69,2.51,5.37,1.32,1.33,0,0,3.85,0,0,6.46,0,0,4.8,1.52,0,3.97,Tery_0512,no,,,,,,,,,,,,
Tery_3106  hypothetical protein [Trichodesmium erythraeum IMS101: NC_008312],1.26,5,2.04,0,0,6.08,0,2.82,3.86,2.31,4.04,0,1.43,2.33,0,0,1.39,1.88,0,7.01,0,9.75,0,0,11.68,1.26,1.79,0,6.65,0,0,7.71,0,0,4.03,0,0,6.17,5.33,0,3.31,Tery_3106,no,,,,,,,,,,,,
Tery_1102  Tetratricopeptide TPR_2 [Trichodesmium erythraeum IMS101: NC_008312],1.26,0,1.02,1.15,0,1.52,1.09,1.41,2.32,2.31,3.37,0,0,2.33,0,0,2.79,0.94,0,2.8,0,0.75,1.39,0,2.06,0,1.79,0,1.33,0,0,3.85,0,0,3.23,0,0,0,3.05,0,1.98,Tery_1102,no,,,,,,,,,,,,
Tery_0266 nusG transcription antitermination protein nusG [Trichodesmium erythraeum IMS101: NC_008312],5.03,7.85,7.15,4.62,0,4.56,2.18,5.63,5.4,5.39,7.41,0,1.43,9.34,0,1.45,4.18,2.82,0,4.21,9.48,6.75,0,0,6.18,3.77,10.74,3.97,5.98,0,0,10.28,0,0,10.49,0,0,5.49,6.09,0,8.6,Tery_0266,K02601,,,,,,,,,,,,
Tery_4630  NAD-dependent epimerase/dehydratase [Trichodesmium erythraeum IMS101: NC_008312],0,2.86,5.11,0,0,0.76,0,4.22,3.86,1.54,2.7,0,2.86,1.56,0,0,0,0.94,0,1.4,2.11,2.25,0,0,5.5,3.77,1.79,0,7.31,0,0,5.14,0,0,4.84,0,0,6.17,1.52,0,5.29,Tery_4630,no,,,,,,,,,,,,
Tery_3870  hypothetical protein [Trichodesmium erythraeum IMS101: NC_008312],0,2.86,4.08,0,0,2.28,3.27,2.82,4.63,4.62,4.72,0,4.29,4.67,0,1.45,3.48,1.88,0,4.91,5.27,5.25,0,0,4.81,0,2.68,1.32,3.99,0,0,0,0,0,4.84,0,0,5.49,2.28,0,5.29,Tery_3870,no,,,,,,,,,,,,
Tery_3424  hypothetical protein [Trichodesmium erythraeum IMS101: NC_008312],0,2.14,0,0,0,0.76,0,0,1.54,1.54,2.02,0,0,1.56,0,0,0.7,0,0,1.4,0,2.25,0,0,2.06,0,0.89,0,1.33,0,0,2.57,0,0,0,0,0,2.06,0,0,2.65,Tery_3424,no,,,,,,,,,,,,
Tery_1165  protein of unknown function DUF59 [Trichodesmium erythraeum IMS101: NC_008312],6.29,7.85,8.17,0,4.37,4.56,2.18,5.63,6.18,2.31,8.09,0,4.29,5.45,0,4.36,3.48,1.88,0,7.01,1.05,3,0,0,6.87,3.77,0.89,1.32,5.32,0,0,10.28,0,0,4.84,3.48,0,5.49,6.85,0,4.63,Tery_1165,K03593,,,,,,,,,,,,
Tery_2415  protein of unknown function DUF323 [Trichodesmium erythraeum IMS101: NC_008312],1.26,2.86,3.06,2.31,0,2.28,0,0,3.09,2.31,4.04,0,0,2.33,0,0,2.79,0,0,3.5,0,2.25,3.47,0,4.12,0,2.68,1.32,4.65,1.06,0,5.14,0,0,1.61,0,0,2.06,3.05,0,3.31,Tery_2415,no,,,,,,,,,,,,
Tery_3253 ftsH membrane protease FtsH catalytic subunit (EC 3.4.24.-) [Trichodesmium erythraeum IMS101: NC_008312],0,6.43,5.11,0,0,8.36,14.17,0,8.49,7.7,10.11,0,0,0,0,0,3.48,8.45,0,7.71,8.43,7.5,0,0,4.81,0,10.74,0,9.97,0,0,10.28,0,0,12.1,0,0,8.23,9.13,0,7.27,Tery_3253,K03798,,,,Drug resistance,,K03798,"ftsH,",hflB;,cell,division,protease,FtsH
"Tery_1360  glycosyl transferase, group 1 [Trichodesmium erythraeum IMS101: NC_008312]",0,0.71,0,0,0,0,0,0,0.77,0.77,0.67,0,0,0,0,0,0,0,0,1.4,0,0,0,0,2.75,0,0,0,1.99,0,0,1.28,0,0,0,0,0,0,2.28,0,0.66,Tery_1360,K20444,,,,,,,,,,,,
Tery_0116  TPR repeat [Trichodesmium erythraeum IMS101: NC_008312],5.03,8.57,5.11,0,0,3.8,9.81,8.45,7.72,3.08,7.41,0,5.71,6.23,0,4.36,3.48,3.75,0,4.91,8.43,5.25,0,0,10.31,6.28,9.84,6.62,9.97,0,0,11.56,0,2.41,8.88,1.74,0,6.17,10.66,0,5.95,Tery_0116,no,,,,,,,,,,,,
Tery_2997 rplR LSU ribosomal protein L18P [Trichodesmium erythraeum IMS101: NC_008312],6.29,4.28,2.04,5.77,0,4.56,3.27,4.22,3.86,4.62,4.04,3.35,2.86,4.67,0,2.91,3.48,5.63,0,3.5,7.38,3.75,7.64,0,3.44,2.51,10.74,9.27,4.65,7.41,0,6.42,7.02,0,7.26,6.95,0,4.11,4.57,1.82,5.29,Tery_2997,K02881,,,,Ribosome,,K02881,"RP-L18,","MRPL18,",rplR;,large,subunit,ribosomal
Tery_4388  Methyltransferase type 11 [Trichodesmium erythraeum IMS101: NC_008312],8.81,3.57,5.11,0,0,5.32,3.27,2.82,3.86,4.62,2.7,0,0,4.67,0,1.45,6.27,2.82,0,5.61,5.27,3.75,0,0,3.44,5.03,3.58,0,5.32,0,0,7.71,0,0,4.84,0,0,3.43,6.09,0,5.29,Tery_4388,no,,,,,,,,,,,,
Tery_3157  prolyl oligopeptidase (EC:3.4.21.26). Serine peptidase. MEROPS family S09A [Trichodesmium erythraeum IMS101: NC_008312],3.77,4.28,4.08,0,0,5.32,4.36,1.41,3.09,4.62,5.39,0,0,4.67,0,0,6.27,3.75,0,5.61,5.27,8.25,0,2.82,6.87,6.28,4.47,0,3.99,0,0,0,0,0,4.84,0,0,6.17,6.09,0,3.97,Tery_3157,K01322,,,,,,,,,,,,
Tery_2698  hypothetical protein [Trichodesmium erythraeum IMS101: NC_008312],3.77,5.71,2.04,3.46,2.91,3.04,4.36,2.82,4.63,1.54,4.72,0,4.29,3.11,0,0,4.88,4.69,0,4.91,4.22,3.75,2.78,0,4.12,6.28,5.37,6.62,6.65,3.18,0,6.42,0,0,5.65,3.48,0,3.43,4.57,0,4.63,Tery_2698,no,,,,,,,,,,,,
Tery_4764  histidine triad (HIT) protein [Trichodesmium erythraeum IMS101: NC_008312],3.77,5,9.19,4.62,0,8.36,5.45,4.22,6.95,4.62,8.09,0,0,7.78,0,4.36,4.18,3.75,0,6.31,9.48,6.75,5.56,0,2.75,2.51,13.42,0,9.97,3.18,0,8.99,7.02,0,9.68,1.74,0,4.8,9.9,0,8.6,Tery_4764,K02503,,,,,,,,,,,,
Tery_3743  hypothetical protein [Trichodesmium erythraeum IMS101: NC_008312],1.26,2.86,3.06,0,0,2.28,0,2.82,5.4,3.85,4.72,0,2.86,8.56,0,1.45,0.7,2.82,0,8.41,0,5.25,0,0,6.87,2.51,4.47,5.3,7.98,0,0,7.71,0,0,4.84,0,0,2.74,6.09,0,6.61,Tery_3743,no,,,,,,,,,,,,
Tery_2296  hypothetical protein [Trichodesmium erythraeum IMS101: NC_008312],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0,0,0,0,Tery_2296,no,,,,,,,,,,,,
Tery_5015  anti-sigma-factor antagonist [Trichodesmium erythraeum IMS101: NC_008312],10.06,5.71,10.21,9.24,5.82,3.8,6.54,0,6.95,3.08,7.41,1.12,7.14,6.23,0,1.45,9.76,6.57,0,7.01,5.27,6,0,0,6.87,6.28,8.95,2.65,7.31,0,0,7.71,14.04,16.88,5.65,5.21,0,6.17,7.61,0,6.61,Tery_5015,no,,,,,,,,,,,,
Tery_4907 sepF protein of unknown function DUF552 [Trichodesmium erythraeum IMS101: NC_008312],0,0,0,1.15,0,3.8,0,0,0.77,2.31,0,0,0,0.78,0,0,0,1.88,0,0,0,1.5,0.69,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0.66,Tery_4907,K09772,,,,,,,,,,,,
Tery_1882 rplT LSU ribosomal protein L20P [Trichodesmium erythraeum IMS101: NC_008312],3.77,7.14,3.06,0,0,4.56,4.36,9.86,3.09,6.16,1.35,7.82,12.86,6.23,0.97,5.82,0,12.2,15.18,2.1,5.27,8.25,0.69,5.64,2.06,8.79,0,0,2.66,0,3.64,5.14,0,7.23,3.23,0,0,8.23,2.28,4.55,8.6,Tery_1882,K02887,,,,Ribosome,,K02887,"RP-L20,","MRPL20,",rplT;,large,subunit,ribosomal
Tery_0886 speE spermidine synthase (EC 2.5.1.16) [Trichodesmium erythraeum IMS101: NC_008312],2.52,9.28,2.04,0,0,10.64,1.09,2.82,6.95,1.54,8.76,0,0,7,0,0,3.48,0,0,8.41,1.05,9.75,0,0,8.93,3.77,7.16,0,5.98,0,0,15.41,0,0,7.26,0,0,7.54,8.37,0,7.27,Tery_0886,K00797,,,,Cysteine and methionine metabolism,,K00797,"speE,",SRM;,spermidine,synthase,[EC:2.5.1.16],
Tery_0886 speE spermidine synthase (EC 2.5.1.16) [Trichodesmium erythraeum IMS101: NC_008312],2.52,9.28,2.04,0,0,10.64,1.09,2.82,6.95,1.54,8.76,0,0,7,0,0,3.48,0,0,8.41,1.05,9.75,0,0,8.93,3.77,7.16,0,5.98,0,0,15.41,0,0,7.26,0,0,7.54,8.37,0,7.27,Tery_0886,K00797,,,,Polyamine biosynthesis,,K00797,"speE,",SRM;,spermidine,synthase,[EC:2.5.1.16],
